Country name,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year
Afghanistan,2014,3.130895615,7.516955376,0.525568426,52.88000107,0.508514047,0.113184482,0.871241987,0.531691492,0.374860734,0.409047514,-1.773256779,-1.312502503,1.395396113,0.445685923
Afghanistan,2015,3.982854605,7.500538826,0.528597236,53.20000076,0.388927579,0.089090675,0.880638301,0.553553164,0.339276046,0.260557145,-1.84436357,-1.29159379,2.16061759,0.542479634
Afghanistan,2016,4.220168591,7.497038364,0.559071779,53,0.522566199,0.051364917,0.793245554,0.564952672,0.348332286,0.324989557,-1.855426311,-1.392712831,1.796219468,0.42562741
Afghanistan,2017,2.66171813,7.497754574,0.490880072,52.79999924,0.427010864,-0.112198286,0.954392552,0.49634856,0.371326178,0.261178523,-1.886565924,-1.43780756,1.454050779,0.546282768
Afghanistan,2018,2.694303274,7.494587898,0.507515848,52.59999847,0.373535544,-0.084887877,0.927605689,0.424125314,0.404904395,0.364666402,,,1.408343792,0.522711694
Turkmenistan,2014,5.787379265,9.570275307,0.908927441,60.75999832,0.804678082,0.01021129,,0.695216238,0.153949738,,-1.092476249,-1.3949157,1.976514339,0.341521472
Turkmenistan,2015,5.791460037,9.615293503,0.960158467,61,0.701358378,0.070877671,,0.705347836,0.301038891,,-1.162604332,-1.422184825,1.576172948,0.272154689
Turkmenistan,2016,5.887051582,9.658122063,0.929032266,61.40000153,0.7485044,-0.017403306,,0.636388659,0.255499244,,-1.180242777,-1.55715239,1.15406096,0.196033776
Turkmenistan,2017,5.229148865,9.704366684,0.908454895,61.79999924,0.720399201,0.04387318,,0.52088511,0.349627674,,-1.153553963,-1.54598093,1.43217814,0.273883611
Turkmenistan,2018,4.620601654,9.749464035,0.984488964,62.20000076,0.857774079,0.237279803,,0.612210274,0.189024538,,,,1.198476553,0.259376734
Cambodia,2014,3.88330555,8.046971321,0.693434179,60.02000046,0.937544584,0.237839058,0.842555106,0.783240318,0.481934011,0.696742117,-0.542288065,-0.801274061,2.572756767,0.66251719
Cambodia,2015,4.162164688,8.098932266,0.728610277,60.40000153,0.956319809,0.208363369,0.825130224,0.812529683,0.399102688,0.732658446,-0.530307293,-0.830225825,2.494041204,0.599217355
Cambodia,2016,4.461259365,8.150504112,0.745901227,60.79999924,0.957821488,0.074233428,0.840416849,0.838551998,0.398200303,0.739886224,-0.447925985,-0.873313308,2.560576439,0.573958218
Cambodia,2017,4.585842133,8.201130867,0.765094936,61.20000076,0.963774681,0.085995324,0.821022928,0.798616648,0.40828383,0.752442479,-0.493880957,-0.876292229,2.732651472,0.595888674
Cambodia,2018,5.121837616,8.253352165,0.794605374,61.59999847,0.958304822,0.033786766,,0.844592512,0.414345801,,,,2.911452532,0.568439066
Kazakhstan,2014,5.970097542,10.06846523,0.79529345,62.27999878,0.799462974,-0.006787338,0.805351257,0.717839718,0.169456705,0.603504002,-0.573951423,-0.430692345,2.088203907,0.349777192
Kazakhstan,2015,5.949995041,10.06577873,0.931349277,62.79999924,0.740132809,-0.047781285,0.713844299,0.730147421,0.173994005,0.816247523,-0.599363983,-0.349530786,1.960502148,0.329496443
Kazakhstan,2016,5.533551693,10.06249809,0.927810669,63.40000153,0.782805562,-0.046834081,0.702016652,0.702479124,0.15541473,0.759726167,-0.599521577,-0.353907615,2.01249814,0.363690138
Kazakhstan,2017,5.882351398,10.08812237,0.914093196,64,0.745243967,-0.045617759,0.755250692,0.756762207,0.171486408,0.755705774,-0.605611205,-0.263141751,1.745323777,0.296705127
Kazakhstan,2018,6.00763607,10.111166,0.936656713,64.59999847,0.84018296,-0.108595312,0.82378298,0.69319874,0.161542282,0.615031958,,,1.878688693,0.312716782
Turkey,2014,5.579794407,10.01690006,0.863288283,65.36000061,0.649196088,-0.028981781,0.764013529,0.483358771,0.377324939,0.556478322,-0.712227821,0.155479848,2.391303301,0.428564757
Turkey,2015,5.514465332,10.05999851,0.851224601,65.59999847,0.653196752,-0.021746771,0.806076229,0.46024552,0.382290989,0.48608464,-0.930810809,0.056651667,2.530939579,0.458963722
Turkey,2016,5.326221943,10.07561111,0.879994631,66,0.64414674,-0.070580535,0.763706565,0.465150654,0.389962941,0.583728254,-1.308974981,-0.040263936,2.388296366,0.448403478
Turkey,2017,5.607262135,10.13179111,0.876467824,66.40000153,0.644434214,-0.242938563,0.670910537,0.449800909,0.312846124,0.586161256,-1.252016187,-0.084349804,1.626328588,0.290039688
Turkey,2018,5.185689449,10.1489172,0.847027302,66.80000305,0.528629065,-0.181653723,0.804878533,0.434654295,0.350773096,0.513677061,,,2.14615202,0.4138605
Georgia,2014,4.287508011,9.076712608,0.558420002,65.04000092,0.71978116,-0.218929097,0.415525645,0.569884002,0.204327509,0.528196216,-0.018420786,0.600000978,2.04817462,0.477707475
Georgia,2015,4.121940613,9.107768059,0.517371595,65.09999847,0.639944971,-0.191066504,0.50241679,0.547279775,0.233192086,0.254327297,-0.095760062,0.56956923,2.048506737,0.496976286
Georgia,2016,4.448386192,9.135268211,0.533412278,64.90000153,0.606468379,-0.235489741,0.560924053,0.563896,0.223224476,0.344541132,-0.00979048,0.646152794,1.960208535,0.440656096
